#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      4.43e+01    3.46e+01      4.25e-01    4.10e-01      1.40e+00    1.09e+00    1.0e-03
    100      2.51e+01    2.21e+01      2.64e-02    1.10e-01      7.95e-01    6.97e-01    1.0e-03
    200      1.73e+01    1.68e+01      9.06e-02    1.06e-01      5.48e-01    5.31e-01    1.0e-03
    300      1.67e+01    1.57e+01      1.38e-01    8.72e-02      5.29e-01    4.97e-01    1.0e-03
    400      1.64e+01    1.47e+01      2.20e-01    1.48e-01      5.17e-01    4.63e-01    1.0e-03
    500      1.49e+01    1.43e+01      1.21e-01    1.20e-01      4.70e-01    4.51e-01    1.0e-03
    600      1.52e+01    1.45e+01      9.33e-02    9.28e-04      4.82e-01    4.58e-01    1.0e-03
    700      1.69e+01    1.29e+01      3.14e-02    3.70e-02      5.34e-01    4.09e-01    1.0e-03
    800      1.28e+01    1.32e+01      2.05e-02    2.00e-02      4.05e-01    4.18e-01    1.0e-03
    900      1.35e+01    1.36e+01      3.28e-02    2.95e-02      4.28e-01    4.31e-01    1.0e-03
   1000      1.44e+01    1.28e+01      1.07e-01    6.82e-02      4.55e-01    4.03e-01    1.0e-03
   1100      1.35e+01    1.12e+01      5.71e-03    4.64e-02      4.27e-01    3.55e-01    1.0e-03
   1200      1.15e+01    1.25e+01      1.98e-02    1.32e-02      3.63e-01    3.95e-01    1.0e-03
   1300      1.14e+01    1.24e+01      5.40e-03    4.44e-03      3.60e-01    3.93e-01    1.0e-03
   1400      1.21e+01    1.22e+01      2.58e-02    3.26e-02      3.83e-01    3.85e-01    1.0e-03
   1500      1.21e+01    1.11e+01      1.72e-03    8.77e-03      3.81e-01    3.52e-01    1.0e-03
   1600      1.09e+01    1.07e+01      5.90e-02    5.75e-02      3.46e-01    3.37e-01    1.0e-03
   1700      1.16e+01    1.18e+01      1.73e-02    2.06e-02      3.65e-01    3.75e-01    1.0e-03
   1800      1.17e+01    1.10e+01      1.68e-02    1.71e-02      3.70e-01    3.48e-01    1.0e-03
   1900      1.26e+01    1.20e+01      1.07e-01    6.03e-02      4.00e-01    3.78e-01    1.0e-03
   2000      1.27e+01    1.20e+01      1.30e-01    1.09e-01      4.00e-01    3.80e-01    1.0e-03
   2100      1.09e+01    1.03e+01      1.40e-02    1.64e-02      3.46e-01    3.27e-01    1.0e-03
   2200      1.05e+01    1.02e+01      3.87e-02    4.18e-02      3.32e-01    3.23e-01    1.0e-03
   2300      1.12e+01    1.15e+01      4.62e-02    3.17e-02      3.54e-01    3.65e-01    1.0e-03
   2400      1.15e+01    1.03e+01      1.45e-02    4.09e-02      3.63e-01    3.25e-01    1.0e-03
   2500      1.17e+01    1.15e+01      8.94e-02    9.50e-02      3.68e-01    3.62e-01    1.0e-03
   2600      1.16e+01    9.91e+00      3.20e-02    2.64e-03      3.68e-01    3.14e-01    1.0e-03
   2700      1.20e+01    1.11e+01      7.49e-02    6.63e-02      3.81e-01    3.52e-01    1.0e-03
   2800      1.08e+01    1.14e+01      3.63e-02    5.26e-02      3.40e-01    3.60e-01    1.0e-03
   2900      1.03e+01    1.10e+01      3.80e-02    4.33e-02      3.26e-01    3.46e-01    1.0e-03
   3000      1.19e+01    1.02e+01      3.90e-03    3.23e-02      3.77e-01    3.23e-01    1.0e-03
   3100      1.11e+01    1.09e+01      3.23e-02    3.74e-02      3.51e-01    3.44e-01    1.0e-03
   3200      1.03e+01    1.02e+01      4.52e-03    2.61e-03      3.25e-01    3.23e-01    1.0e-03
   3300      1.18e+01    1.02e+01      1.01e-01    9.80e-02      3.72e-01    3.24e-01    1.0e-03
   3400      1.02e+01    9.83e+00      3.27e-03    1.54e-03      3.23e-01    3.11e-01    1.0e-03
   3500      1.03e+01    1.10e+01      6.49e-03    1.62e-02      3.26e-01    3.49e-01    1.0e-03
   3600      1.07e+01    1.09e+01      5.00e-02    4.82e-02      3.38e-01    3.45e-01    1.0e-03
