#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      3.27e+01    3.14e+01      4.42e-01    4.46e-01      1.04e+00    9.93e-01    1.0e-03
     54      2.76e+01    2.67e+01      4.82e-03    5.98e-03      8.74e-01    8.45e-01    1.0e-03
    108      2.22e+01    2.64e+01      3.14e-01    3.16e-01      7.02e-01    8.35e-01    1.0e-03
    162      2.13e+01    2.00e+01      1.19e-01    2.81e-01      6.72e-01    6.32e-01    1.0e-03
    216      1.17e+01    1.24e+01      4.27e-02    3.65e-02      3.69e-01    3.92e-01    1.0e-03
    270      1.61e+01    1.20e+01      2.06e-01    9.97e-01      5.10e-01    3.79e-01    1.0e-03
    324      1.04e+01    1.11e+01      9.81e-02    9.96e-02      3.29e-01    3.51e-01    1.0e-03
    378      1.19e+01    1.10e+01      2.33e-01    1.25e-01      3.76e-01    3.47e-01    1.0e-03
    432      1.08e+01    9.35e+00      3.12e-02    4.21e-01      3.42e-01    2.95e-01    1.0e-03
    486      1.00e+01    1.02e+01      2.45e-02    1.49e-01      3.17e-01    3.23e-01    1.0e-03
    540      9.40e+00    8.97e+00      9.80e-02    2.11e-01      2.97e-01    2.84e-01    1.0e-03
    594      9.66e+00    8.62e+00      1.54e-02    1.61e-01      3.06e-01    2.73e-01    1.0e-03
    648      7.94e+00    8.93e+00      3.38e-02    3.00e-01      2.51e-01    2.82e-01    1.0e-03
    702      1.00e+01    1.23e+01      1.33e-01    2.59e-02      3.17e-01    3.90e-01    1.0e-03
    756      1.06e+01    8.66e+00      6.62e-02    1.48e-01      3.36e-01    2.74e-01    1.0e-03
    810      8.14e+00    7.12e+00      1.21e-01    8.67e-02      2.57e-01    2.25e-01    1.0e-03
    864      7.28e+00    7.87e+00      1.02e-01    1.00e-01      2.30e-01    2.49e-01    1.0e-03
    918      6.92e+00    7.91e+00      2.03e-02    2.44e-02      2.19e-01    2.50e-01    1.0e-03
    972      6.17e+00    7.25e+00      1.00e-02    6.82e-03      1.95e-01    2.29e-01    1.0e-03
   1026      7.49e+00    7.51e+00      3.57e-02    4.64e-02      2.37e-01    2.37e-01    1.0e-03
   1080      8.48e+00    7.61e+00      6.65e-02    3.31e-02      2.68e-01    2.41e-01    1.0e-03
   1134      8.19e+00    6.48e+00      3.80e-02    1.48e-01      2.59e-01    2.05e-01    1.0e-03
   1188      6.25e+00    7.47e+00      1.36e-01    1.37e-01      1.98e-01    2.36e-01    1.0e-03
   1242      1.02e+01    5.89e+00      9.46e-02    7.88e-03      3.22e-01    1.86e-01    1.0e-03
   1296      8.45e+00    5.90e+00      1.46e-01    8.70e-02      2.67e-01    1.87e-01    1.0e-03
   1350      7.09e+00    7.68e+00      1.82e-01    1.84e-01      2.24e-01    2.43e-01    1.0e-03
   1404      7.44e+00    6.97e+00      7.67e-02    3.51e-03      2.35e-01    2.20e-01    1.0e-03
   1458      7.33e+00    6.91e+00      2.67e-02    2.84e-02      2.32e-01    2.19e-01    1.0e-03
   1512      8.56e+00    5.78e+00      6.12e-02    7.09e-02      2.71e-01    1.83e-01    1.0e-03
   1566      5.63e+00    5.50e+00      1.96e-01    1.22e-01      1.78e-01    1.74e-01    1.0e-03
   1620      5.85e+00    6.02e+00      1.72e-03    7.51e-02      1.85e-01    1.90e-01    1.0e-03
   1674      6.76e+00    5.34e+00      1.61e-02    7.79e-03      2.14e-01    1.69e-01    1.0e-03
   1728      5.51e+00    6.97e+00      1.39e-02    6.90e-02      1.74e-01    2.20e-01    1.0e-03
   1782      6.41e+00    6.53e+00      5.51e-02    2.50e-02      2.03e-01    2.07e-01    1.0e-03
   1836      5.80e+00    6.47e+00      2.70e-02    9.96e-02      1.83e-01    2.04e-01    1.0e-03
   1890      5.76e+00    6.22e+00      3.11e-02    4.92e-02      1.82e-01    1.97e-01    1.0e-03
   1944      6.39e+00    6.92e+00      1.94e-01    1.90e-01      2.02e-01    2.19e-01    1.0e-03
   1998      7.59e+00    5.32e+00      4.55e-01    9.58e-02      2.39e-01    1.68e-01    1.0e-03
   2052      6.51e+00    6.82e+00      8.13e-02    8.18e-02      2.06e-01    2.16e-01    1.0e-03
   2106      7.58e+00    8.10e+00      7.13e-02    6.68e-02      2.40e-01    2.56e-01    1.0e-03
   2160      9.77e+00    6.08e+00      2.98e-02    3.43e-02      3.09e-01    1.92e-01    1.0e-03
   2214      1.10e+01    6.71e+00      3.71e-01    1.36e-01      3.47e-01    2.12e-01    1.0e-03
   2268      7.24e+00    4.81e+00      2.37e-01    2.00e-01      2.29e-01    1.52e-01    1.0e-03
   2322      6.72e+00    6.53e+00      1.85e-02    8.58e-02      2.13e-01    2.07e-01    1.0e-03
   2376      6.32e+00    6.30e+00      4.42e-02    4.69e-02      2.00e-01    1.99e-01    1.0e-03
   2430      6.57e+00    6.19e+00      1.37e-03    8.15e-02      2.08e-01    1.96e-01    1.0e-03
   2484      6.32e+00    6.62e+00      6.34e-02    2.76e-02      2.00e-01    2.09e-01    1.0e-03
   2538      9.86e+00    8.94e+00      1.82e-01    3.19e-01      3.12e-01    2.82e-01    1.0e-03
   2592      7.02e+00    6.38e+00      7.50e-02    7.42e-02      2.22e-01    2.02e-01    1.0e-03
   2646      6.17e+00    6.78e+00      9.09e-03    6.95e-02      1.95e-01    2.14e-01    1.0e-03
   2700      6.00e+00    4.51e+00      1.34e-01    5.25e-02      1.90e-01    1.43e-01    1.0e-03
   2754      6.19e+00    6.51e+00      2.49e-02    2.79e-02      1.96e-01    2.06e-01    1.0e-03
   2808      7.37e+00    4.48e+00      1.31e-01    1.04e-02      2.33e-01    1.42e-01    1.0e-03
