Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -454.2477    -456.5002       2.2525   281.1
0.0500        -453.2102    -455.0186       1.8084   225.7
0.1000        -452.1306    -454.1655       2.0349   253.9
0.1500        -451.7657    -454.1871       2.4214   302.1
0.2000        -452.0525    -454.3473       2.2949   286.4
0.2500        -451.5566    -454.0220       2.4654   307.6
0.3000        -451.7321    -454.3930       2.6609   332.0
0.3500        -452.3940    -454.6647       2.2708   283.3
0.4000        -452.0560    -454.1452       2.0892   260.7
0.4500        -452.1400    -454.2349       2.0949   261.4
0.5000        -452.3804    -454.6386       2.2582   281.8
0.5500        -452.1175    -454.3834       2.2659   282.7
0.6000        -451.6168    -454.0222       2.4054   300.1
0.6500        -451.6615    -453.9841       2.3226   289.8
0.7000        -451.5005    -453.8788       2.3783   296.8
0.7500        -450.9373    -453.9001       2.9628   369.7
0.8000        -450.7756    -453.4921       2.7165   339.0
0.8500        -450.6090    -453.2701       2.6611   332.1
0.9000        -450.8639    -453.5850       2.7211   339.5
0.9500        -450.9528    -453.8065       2.8538   356.1
1.0000        -451.3494    -454.1883       2.8389   354.2
1.0500        -451.1154    -454.3293       3.2138   401.0
1.1000        -451.2184    -454.1137       2.8953   361.3
1.1500        -451.1517    -453.3485       2.1968   274.1
1.2000        -451.4136    -453.9590       2.5454   317.6
1.2500        -451.5660    -454.2008       2.6348   328.8
1.3000        -451.7752    -454.1316       2.3564   294.0
1.3500        -451.5164    -453.5592       2.0428   254.9
1.4000        -452.1719    -454.3347       2.1627   269.9
1.4500        -452.0337    -454.1812       2.1475   268.0
1.5000        -451.8536    -454.0749       2.2213   277.2
1.5500        -451.3853    -454.2556       2.8703   358.2
1.6000        -451.5489    -454.0144       2.4656   307.7
1.6500        -451.6438    -453.9661       2.3223   289.8
1.7000        -451.9209    -454.0947       2.1738   271.2
1.7500        -452.2577    -454.5372       2.2796   284.4
1.8000        -452.1891    -454.5266       2.3376   291.7
1.8500        -451.7201    -454.0549       2.3349   291.3
1.9000        -452.2205    -454.3333       2.1128   263.6
1.9500        -451.9190    -454.0935       2.1746   271.3
2.0000        -452.2158    -454.5117       2.2959   286.5
2.0500        -451.6552    -454.1716       2.5164   314.0
2.1000        -451.8009    -454.0222       2.2213   277.2
2.1500        -451.6731    -453.8903       2.2171   276.7
2.2000        -451.9319    -454.1139       2.1820   272.3
2.2500        -451.8556    -454.2892       2.4336   303.7
2.3000        -451.6303    -453.8431       2.2128   276.1
2.3500        -451.6347    -453.9294       2.2947   286.3
2.4000        -451.8793    -454.0929       2.2136   276.2
2.4500        -451.1523    -453.9342       2.7819   347.1
2.5000        -451.6179    -454.2184       2.6005   324.5
2.5500        -451.7665    -454.0784       2.3119   288.5
2.6000        -451.4139    -454.2826       2.8687   358.0
2.6500        -451.6774    -453.9410       2.2636   282.5
2.7000        -451.3637    -453.9834       2.6198   326.9
2.7500        -451.4201    -453.6822       2.2621   282.3
2.8000        -451.4220    -453.7877       2.3657   295.2
2.8500        -451.9117    -453.9553       2.0436   255.0
2.9000        -451.8201    -454.0280       2.2079   275.5
2.9500        -451.6476    -454.3721       2.7245   340.0
3.0000        -451.6412    -454.2921       2.6510   330.8
3.0500        -451.7612    -453.9814       2.2202   277.0
3.1000        -451.4649    -454.0156       2.5508   318.3
3.1500        -451.5589    -453.9950       2.4362   304.0
3.2000        -451.8551    -453.8687       2.0136   251.3
3.2500        -451.4547    -453.8788       2.4241   302.5
3.3000        -451.3476    -453.9366       2.5890   323.0
3.3500        -451.6356    -453.9333       2.2977   286.7
3.4000        -451.6068    -454.3723       2.7655   345.1
3.4500        -451.8034    -454.1666       2.3632   294.9
3.5000        -451.8576    -454.1983       2.3407   292.1
3.5500        -451.5926    -454.2378       2.6452   330.1
3.6000        -451.2133    -453.7672       2.5539   318.7
3.6500        -451.6595    -454.0703       2.4109   300.8
3.7000        -451.8583    -454.4593       2.6011   324.6
3.7500        -451.9993    -454.3172       2.3179   289.2
3.8000        -451.5677    -454.0953       2.5276   315.4
3.8500        -452.2094    -454.4925       2.2831   284.9
3.9000        -451.9753    -454.3909       2.4157   301.4
3.9500        -452.2250    -454.4855       2.2605   282.1
4.0000        -451.9838    -454.0674       2.0835   260.0
4.0500        -451.7769    -453.9720       2.1950   273.9
4.1000        -451.3576    -454.0457       2.6881   335.4
4.1500        -451.3025    -453.9799       2.6774   334.1
4.2000        -451.4588    -453.6528       2.1940   273.8
4.2500        -451.5486    -453.9205       2.3720   296.0
